team1,team2,score1,score2,RESULT,SCORE_DIFF
Indiana Pacers,New York Knicks,121,107,W,14
San Antonio Spurs,Memphis Grizzlies,131,119,W,12
Memphis Grizzlies,San Antonio Spurs,119,131,L,-12
Detroit Pistons,Minnesota Timberwolves,101,111,L,-10
Minnesota Timberwolves,Detroit Pistons,111,101,W,10
New Orleans Pelicans,Toronto Raptors,113,99,W,14
Toronto Raptors,New Orleans Pelicans,99,113,L,-14
Sacramento Kings,Denver Nuggets,124,122,W,2
Denver Nuggets,Sacramento Kings,122,124,L,-2
Miami Heat,Orlando Magic,107,113,L,-6
Orlando Magic,Miami Heat,113,107,W,6
Dallas Mavericks,Phoenix Suns,102,106,L,-4
Phoenix Suns,Dallas Mavericks,106,102,W,4
Los Angeles Clippers,Los Angeles Lakers,116,109,W,7
Los Angeles Lakers,Los Angeles Clippers,109,116,L,-7
Golden State Warriors,Brooklyn Nets,99,125,L,-26
Brooklyn Nets,Golden State Warriors,125,99,W,26
Los Angeles Lakers,Miami Heat,106,93,W,13
Miami Heat,Los Angeles Lakers,111,108,W,3
Los Angeles Lakers,Miami Heat,102,96,W,6
Miami Heat,Los Angeles Lakers,96,102,L,-6
Los Angeles Lakers,Miami Heat,104,115,L,-11
Miami Heat,Los Angeles Lakers,114,124,L,-10
Los Angeles Lakers,Miami Heat,124,114,W,10
Miami Heat,Los Angeles Lakers,98,116,L,-18
Los Angeles Lakers,Miami Heat,116,98,W,18
Boston Celtics,Miami Heat,113,125,L,-12
Miami Heat,Boston Celtics,125,113,W,12
Denver Nuggets,Los Angeles Lakers,107,117,L,-10
Los Angeles Lakers,Denver Nuggets,117,107,W,10
Miami Heat,Boston Celtics,108,121,L,-13
Boston Celtics,Miami Heat,121,108,W,13
Los Angeles Lakers,Denver Nuggets,114,108,W,6
Denver Nuggets,Los Angeles Lakers,108,114,L,-6
Boston Celtics,Miami Heat,109,112,L,-3
Miami Heat,Boston Celtics,112,109,W,3
Los Angeles Lakers,Denver Nuggets,106,114,L,-8
Denver Nuggets,Los Angeles Lakers,103,105,L,-2
Los Angeles Lakers,Denver Nuggets,105,103,W,2
Boston Celtics,Miami Heat,117,106,W,11
Miami Heat,Boston Celtics,106,117,L,-11
Denver Nuggets,Los Angeles Lakers,114,126,L,-12
Los Angeles Lakers,Denver Nuggets,126,114,W,12
Miami Heat,Boston Celtics,106,101,W,5
Boston Celtics,Miami Heat,101,106,L,-5
Denver Nuggets,Los Angeles Clippers,104,89,W,15
Los Angeles Clippers,Denver Nuggets,89,104,L,-15
Miami Heat,Boston Celtics,117,114,W,3
Boston Celtics,Miami Heat,114,117,L,-3
Los Angeles Clippers,Denver Nuggets,98,111,L,-13
Denver Nuggets,Los Angeles Clippers,111,98,W,13
Houston Rockets,Los Angeles Lakers,96,119,L,-23
Los Angeles Lakers,Houston Rockets,119,96,W,23
Denver Nuggets,Los Angeles Clippers,111,105,W,6
Los Angeles Clippers,Denver Nuggets,105,111,L,-6
Boston Celtics,Toronto Raptors,92,87,W,5
Toronto Raptors,Boston Celtics,87,92,L,-5
Los Angeles Lakers,Houston Rockets,110,100,W,10
Houston Rockets,Los Angeles Lakers,100,110,L,-10
Toronto Raptors,Boston Celtics,125,122,W,3
Boston Celtics,Toronto Raptors,122,125,L,-3
Los Angeles Clippers,Denver Nuggets,96,85,W,11
Denver Nuggets,Los Angeles Clippers,85,96,L,-11
Miami Heat,Milwaukee Bucks,103,94,W,9
Milwaukee Bucks,Miami Heat,94,103,L,-9
Los Angeles Lakers,Houston Rockets,112,102,W,10
Houston Rockets,Los Angeles Lakers,102,112,L,-10
Boston Celtics,Toronto Raptors,111,89,W,22
Toronto Raptors,Boston Celtics,89,111,L,-22
Los Angeles Clippers,Denver Nuggets,113,107,W,6
Denver Nuggets,Los Angeles Clippers,107,113,L,-6
Milwaukee Bucks,Miami Heat,118,115,W,3
Miami Heat,Milwaukee Bucks,115,118,L,-3
Houston Rockets,Los Angeles Lakers,109,117,L,-8
Los Angeles Lakers,Houston Rockets,117,109,W,8
Denver Nuggets,Los Angeles Clippers,110,101,W,9
Los Angeles Clippers,Denver Nuggets,101,110,L,-9
Toronto Raptors,Boston Celtics,100,93,W,7
Boston Celtics,Toronto Raptors,93,100,L,-7
Milwaukee Bucks,Miami Heat,100,115,L,-15
Miami Heat,Milwaukee Bucks,115,100,W,15
Houston Rockets,Los Angeles Lakers,112,97,W,15
Los Angeles Lakers,Houston Rockets,97,112,L,-15
Denver Nuggets,Los Angeles Clippers,97,120,L,-23
Los Angeles Clippers,Denver Nuggets,120,97,W,23
Toronto Raptors,Boston Celtics,104,103,W,1
Boston Celtics,Toronto Raptors,103,104,L,-1
Miami Heat,Milwaukee Bucks,116,114,W,2
Milwaukee Bucks,Miami Heat,114,116,L,-2
Oklahoma City Thunder,Houston Rockets,102,104,L,-2
Houston Rockets,Oklahoma City Thunder,104,102,W,2
Boston Celtics,Toronto Raptors,102,99,W,3
Toronto Raptors,Boston Celtics,99,102,L,-3
